video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
ZyneqqaNCgk,Senate Transportation Committee Public Hearing on HB 1135 and Amendment to HB 1135,NO,,,title,yes,2020-05-29 13:01:23,2020-05-29T17:01:23Z,2020-05-29T20:32:19Z,PT1H14M25S,2020-05-29T21:12:27Z
ZyajWZAIHnc,Senate Health and Human Services Committee Public Hearing,NO,,,title,yes,2020-06-02 08:05:44,2020-06-02T12:05:44Z,2020-06-02T15:50:42Z,PT1H33M53S,2020-06-02T16:30:55Z
Xo2W7xacTV8,Senate Health and Human Services Committee Public Hearing,NO,,,title,yes,2020-06-04 08:01:21,2020-06-04T12:01:21Z,2020-06-04T16:45:19Z,PT2H20M35S,2020-06-04T17:26:17Z
7i3Gjb2NhZ8,Senate Election Law and Municipal Affairs Committee Remote Meeting,NO,,,title,yes,2020-06-04 13:01:55,2020-06-04T17:01:55Z,2020-06-04T21:59:07Z,PT2H33M21S,2020-06-04T22:41:48Z
_s6ORP4Xns0,Senate Commerce Committee Remote Meeting (06/05/20),yes,Commerce Committee Remote Meeting,2020-06-05,title,yes,2020-06-05 09:00:01,2020-06-05T13:00:01Z,2020-06-05T17:37:05Z,PT1H54M15S,2020-06-05T18:18:14Z
PIaEpq9mAls,Senate Judiciary Committee Remote Public Hearing,NO,,,title,yes,2020-06-09 09:04:44,2020-06-09T13:04:44Z,2020-06-09T19:21:47Z,PT3H20M38S,2020-06-09T20:09:42Z
SxceahVO420,Senate Executive Departments and Administration Committee Remote Public Hearing,NO,,,title,yes,2020-06-09 14:03:06,2020-06-09T18:03:06Z,2020-06-10T00:32:06Z,PT3H48M31S,2020-06-10T01:17:17Z
XU0EEHwBXNY,Senate Health and Human Services Committee Remote Public Hearing,NO,,,title,yes,2020-06-10 08:08:45,2020-06-10T12:08:45Z,2020-06-10T18:52:34Z,PT4H20M19S,2020-06-10T19:43:15Z
2z0vGtABT88,Senate Education Committee Remote Public Hearing,NO,,,title,yes,2020-06-10 13:03:34,2020-06-10T17:03:34Z,2020-06-11T00:13:17Z,PT4H31M5S,2020-06-11T01:08:57Z
df3gcKwG0yA,Senate Commerce Committee Remote Public Hearing,NO,,,title,yes,2020-06-11 09:00:54,2020-06-11T13:00:54Z,2020-06-11T19:18:02Z,PT3H31M,2020-06-11T20:07:16Z
kwippxeSWu8,Senate Election Law and Municipal Affairs Committee Remote Public Hearing,NO,,,title,yes,2020-06-11 13:03:46,2020-06-11T17:03:46Z,2020-06-11T21:54:39Z,PT2H22M39S,2020-06-11T22:48:04Z
Y4pcXcMhqDs,Senate Executive Departments and Administration Committee Executive Session,NO,,,title,yes,2020-06-11 18:00:47,2020-06-11T22:00:47Z,2020-06-12T01:50:27Z,PT51M6S,2020-06-12T02:24:38Z
n-kH29vpygA,Senate Transportation Committee Remote Public Hearing,NO,,,title,yes,2020-06-12 09:03:33,2020-06-12T13:03:33Z,2020-06-12T17:47:07Z,PT2H26M18S,2020-06-12T18:32:44Z
Njy0jdcr2Xc,"Senate Judiciary Committee Remote Public Hearing (June 12, 2020)",NO,,,title,yes,2020-06-12 13:03:55,2020-06-12T17:03:55Z,2020-06-12T23:46:28Z,PT4H37M25S,2020-06-13T00:53:35Z
cUSGqTgwPVA,Senate Judiciary Committee Remote Public Hearing,NO,,,title,yes,2020-06-24 08:02:26,2020-06-24T12:02:26Z,2020-06-24T19:23:26Z,PT5H3M53S,2020-06-24T21:22:21Z
uHO7RP12unU,Senate Election Law and Municipal Affairs Committee Remote Public Hearing,NO,,,title,yes,2020-06-25 13:07:03,2020-06-25T17:07:03Z,2020-06-25T23:37:28Z,PT4H13M53S,2020-06-26T00:44:52Z
KJcuzalL_3g,Signing of House Bill 1280 by Senate President Donna Soucy,NO,,,title,yes,2020-07-14 13:03:48,2020-07-14T17:03:48Z,2020-07-14T19:47:10Z,PT9M13S,2020-07-14T20:18:39Z
vM0W8ofnnUI,Remote Commission on the Environmental and Public Health Impacts of Perfluorinated Chemicals,NO,,,title,yes,2020-07-17 09:01:46,2020-07-17T13:01:46Z,2020-07-17T18:08:08Z,PT2H35M30S,2020-07-17T18:50:37Z
rX1i28EoRdw,Joint Legislative Education Committee Hearing,NO,,,title,yes,2020-07-21 09:01:03,2020-07-21T13:01:03Z,2020-07-21T18:50:24Z,PT3H29M52S,2020-07-21T19:42:22Z
nWoL-hLhJN4,Remote Meeting of ELECTRIC VEHICLE CHARGING STATIONS INFRASTRUCTURE COMMISSION,NO,,,title,yes,2020-07-24 11:02:50,2020-07-24T15:02:50Z,2020-07-24T19:56:55Z,PT1H57M8S,2020-07-24T20:33:54Z
oRDqI-agN9w,"REMOTE MEETING OF COMMISSION ON PRETRIAL DETENTION, PRETRIAL SCHEDULING, AND PRETRIAL SERVICES",NO,,,title,yes,2020-07-31 10:02:51,2020-07-31T14:02:51Z,2020-07-31T18:01:39Z,PT1H40M15S,2020-07-31T18:40:57Z
ShIe4fDsZ0o,"REMOTE MEETING OF COMMISSION ON PRETRIAL DETENTION, PRETRIAL SCHEDULING, AND PRETRIAL SERVICES",NO,,,title,yes,2020-08-21 10:00:41,2020-08-21T14:00:41Z,2020-08-21T17:35:43Z,PT1H5M25S,2020-08-21T18:17:38Z
PH_Bq16EN0Q,COMMISSION TO STUDY THE INCIDENCE OF POST-TRAUMATIC STRESS DISORDER IN FIRST RESPONDERS,NO,,,title,yes,2020-08-28 10:00:43,2020-08-28T14:00:43Z,2020-08-28T16:51:23Z,PT37M50S,2020-08-28T17:42:34Z
SbAQUhSOrD4,Remote Meeting of Coastal Marine Natural Resources and Environment Commission,NO,,,title,yes,2020-08-31 09:10:59,2020-08-31T13:10:59Z,2020-08-31T16:33:50Z,PT1H46S,2020-08-31T17:08:44Z
chd9QgZpT_w,REMOTE MEETING OF COMMITTEE TO STUDY THE SAFETY OF RESIDENTS AND EMPLOYEES IN LTC FACILITIES,NO,,,title,yes,2020-09-03 13:01:17,2020-09-03T17:01:17Z,2020-09-03T19:31:09Z,PT22M28S,2020-09-03T20:07:49Z
bnoNhyR7JA0,REMOTE MEETING OF COMMISSION ON THE ENVIRONMENTAL AND PUBLIC HEALTH IMPACTS OF PFAS,NO,,,title,yes,2020-09-04 10:02:37,2020-09-04T14:02:37Z,2020-09-04T18:13:41Z,PT1H53M47S,2020-09-04T18:55:51Z
692CScMtgMw,REMOTE MEETING OF COMMISSION TO STUDY THE INCIDENCE OF PTSD IN FIRST RESPONDERS,NO,,,title,yes,2020-09-11 10:01:03,2020-09-11T14:01:03Z,2020-09-11T17:33:07Z,PT1H6M22S,2020-09-11T18:11:16Z
OwKtqrbxuxA,REMOTE MEETING ADVISORY COUNCIL ON CAREER AND TECHNICAL EDUCATION,NO,,,title,yes,2020-09-14 09:06:01,2020-09-14T13:06:01Z,2020-09-14T17:16:24Z,PT2H35S,2020-09-14T18:05:56Z
UrFnvB5YNCY,ENVIRONMENTAL SUBCOMMITTEE COMMISSION ON THE ENVIRONMENTAL AND PUBLIC HEALTH IMPACTS OF PFAS,NO,,,title,yes,2020-09-14 13:06:34,2020-09-14T17:06:34Z,2020-09-14T20:51:59Z,PT1H1M47S,2020-09-14T21:28:19Z
LX9kUZpwv30,REMOTE MEETING OF COMMISSION TO STUDY ENVIRONMENTALLY-TRIGGERED CHRONIC ILLNESS,NO,,,title,yes,2020-09-15 10:02:37,2020-09-15T14:02:37Z,2020-09-15T17:55:32Z,PT1H40M30S,2020-09-15T18:40:38Z
XE0P-6fuWcQ,REMOTE MEETING OF COMMITTEE TO STUDY THE SAFETY OF RESIDENTS AND EMPLOYEES IN LTC FACILITIES,NO,,,title,yes,2020-09-17 13:01:40,2020-09-17T17:01:40Z,2020-09-17T20:33:05Z,PT1H7M55S,2020-09-17T21:13:40Z
2NOmS-cnouw,HEALTH SUBCOMMITTEE COMMISSION ON THE ENVIRONMENTAL AND PUBLIC HEALTH IMPACTS OF PFAS,NO,,,title,yes,2020-09-18 13:03:41,2020-09-18T17:03:41Z,2020-09-18T20:57:24Z,PT1H24M19S,2020-09-18T21:33:33Z
-HwIy5ItGxs,Remote Meeting of Coastal Marine Natural Resources and Environment Commission,NO,,,title,yes,2020-09-21 09:04:35,2020-09-21T13:04:35Z,2020-09-21T16:12:09Z,PT59M53S,2020-09-21T16:50:26Z
