video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
1XeRmsxmvu0,Senate Session (01/04/2023),yes,Session,2023-01-04,title,yes,2023-01-04 10:00:07,2023-01-04T15:00:07Z,2023-01-04T15:32:53Z,PT32M55S,2023-01-05T03:37:17Z
9dFpycnFtEE,Senate Session (01/05/2023),yes,Session,2023-01-05,title,yes,2023-01-05 11:00:57,2023-01-05T16:00:57Z,2023-01-05T17:50:01Z,PT1H49M11S,2023-01-06T06:01:22Z
IQxxsYu9rPw,Senate Education (01/10/23),yes,Education,2023-01-10,title,yes,2023-01-10 08:58:07,2023-01-10T13:58:07Z,2023-01-10T14:47:55Z,PT49M56S,2023-01-11T02:50:48Z
IRFshA0KXGk,Senate Commerce (01/10/23),yes,Commerce,2023-01-10,title,yes,2023-01-10 08:59:46,2023-01-10T13:59:46Z,2023-01-10T15:25:29Z,PT1H23M9S,2023-01-11T03:38:50Z
frRNLJNguJM,Senate Energy and Natural Resources (01/10/23),yes,Energy and Natural Resources,2023-01-10,title,yes,2023-01-10 08:58:12,2023-01-10T13:58:12Z,2023-01-10T16:48:17Z,PT2H50M10S,2023-01-11T05:23:08Z
k6fdkYo6BWk,Senate Judiciary (01/10/23),yes,Judiciary,2023-01-10,title,yes,2023-01-10 12:57:22,2023-01-10T17:57:22Z,2023-01-10T19:47:11Z,PT1H49M51S,2023-01-11T07:55:05Z
OCSesV3w45I,Senate Ways and Means (01/11/23),yes,Ways and Means,2023-01-11,title,yes,2023-01-11 08:57:27,2023-01-11T13:57:27Z,2023-01-11T20:01:07Z,PT6H3M41S,2023-01-11T21:10:24Z
TBDQlqyb5pw,Senate Health and Human Services (01/11/23),yes,Health and Human Services,2023-01-11,title,yes,2023-01-11 08:58:46,2023-01-11T13:58:46Z,2023-01-11T15:10:53Z,PT1H12M16S,2023-01-12T03:28:59Z
08zXVwhwKhc,Senate Executive Departments and Administration (01/11/23),yes,Executive Departments and Administration,2023-01-11,title,yes,2023-01-11 08:58:42,2023-01-11T13:58:42Z,2023-01-11T15:34:31Z,PT1H35M55S,2023-01-12T03:41:48Z
u8zBizy7NMo,Senate Judiciary (01/12/23),yes,Judiciary,2023-01-12,title,yes,2023-01-12 09:59:52,2023-01-12T14:59:52Z,2023-01-12T16:57:12Z,PT1H57M26S,2023-01-13T05:21:19Z
4kUpeJEEM6g,Senate Judiciary (01/12/23) PT 2,NO,,,title,yes,2023-01-12 12:01:47,2023-01-12T17:01:47Z,2023-01-12T17:23:04Z,PT21M30S,2023-01-13T05:26:01Z
MTXWD7Z8l4U,Senate Ways and Means (01/12/23),yes,Ways and Means,2023-01-12,title,yes,2023-01-12 09:00:07,2023-01-12T14:00:07Z,2023-01-12T17:14:54Z,PT3H15M1S,2023-01-13T05:33:59Z
5KWgOhs4Ppo,Senate Election Law and Municipal Affairs (01/17/23),yes,Election Law and Municipal Affairs,2023-01-17,title,yes,2023-01-17 09:28:18,2023-01-17T14:28:18Z,2023-01-17T15:59:16Z,PT1H31M6S,2023-01-18T04:23:42Z
u2IFEJ_CuVg,Senate Commerce (01/17/23),yes,Commerce,2023-01-17,title,yes,2023-01-17 09:00:06,2023-01-17T14:00:06Z,2023-01-17T16:30:26Z,PT2H30M21S,2023-01-18T06:19:50Z
wzBXtercb0U,Senate Transportation (01/17/23),yes,Transportation,2023-01-17,title,yes,2023-01-17 12:59:37,2023-01-17T17:59:37Z,2023-01-17T18:59:32Z,PT1H,2023-01-18T07:13:29Z
RE_TSTR9GyE,Senate Energy and Natural Resources (01/17/23),yes,Energy and Natural Resources,2023-01-17,title,yes,2023-01-17 08:59:32,2023-01-17T13:59:32Z,2023-01-17T17:03:55Z,PT3H4M30S,2023-01-18T07:36:22Z
MEL2uBZl_Yo,Senate Judiciary (01/17/23),yes,Judiciary,2023-01-17,title,yes,2023-01-17 13:01:01,2023-01-17T18:01:01Z,2023-01-17T19:46:17Z,PT1H45M16S,2023-01-18T09:07:43Z
