video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
EB_AmrivNQQ,House Session (01/04/23),yes,Session,2023-01-04,title,yes,2023-01-04 10:01:06,2023-01-04T15:01:06Z,2023-01-04T17:23:38Z,PT2H22M26S,2023-01-05T06:02:24Z
_P2SebNSBew,Governor's Inauguration (01/05/2023),yes,Governor's Inauguration,2023-01-05,title,yes,2023-01-05 11:14:37,2023-01-05T16:14:37Z,2023-01-05T17:45:19Z,PT1H30M41S,2023-01-06T05:59:42Z
KtUukmtR8IQ,House Education (01/06/23),yes,Education,2023-01-06,title,yes,2023-01-06 09:29:12,2023-01-06T14:29:12Z,2023-01-06T21:03:27Z,PT6H34M16S,2023-01-06T21:43:22Z
tSLksR5ugTs,House Executive Departments and Administration (01/09/23),yes,Executive Departments and Administration,2023-01-09,title,yes,2023-01-09 09:59:52,2023-01-09T14:59:52Z,2023-01-09T19:53:19Z,PT4H53M36S,2023-01-09T20:28:40Z
AHLCIOEmazE,"House Science, Technology and Energy (01/09/23)",yes,"Science, Technology and Energy",2023-01-09,title,yes,2023-01-09 09:01:06,2023-01-09T14:01:06Z,2023-01-09T20:55:09Z,PT6H54M1S,2023-01-10T00:44:07Z
ws_4cUe5uz0,House Children and Family Law (01/10/23),yes,Children and Family Law,2023-01-10,title,yes,2023-01-10 10:14:22,2023-01-10T15:14:22Z,2023-01-10T20:48:58Z,PT5H34M40S,2023-01-10T21:31:46Z
NZqO3sqwD0Q,House Election Law (01/10/23),yes,Election Law,2023-01-10,title,yes,2023-01-10 09:58:46,2023-01-10T14:58:46Z,2023-01-10T19:39:09Z,PT4H40M30S,2023-01-10T21:41:32Z
W7ipJHxOVr0,House Commerce and Consumer Affairs (01/10/23),yes,Commerce and Consumer Affairs,2023-01-10,title,yes,2023-01-10 09:58:37,2023-01-10T14:58:37Z,2023-01-10T20:48:01Z,PT5H49M21S,2023-01-10T21:42:24Z
f4cCAW6zMeA,House Ways and Means (01/10/23),yes,Ways and Means,2023-01-10,title,yes,2023-01-10 10:03:11,2023-01-10T15:03:11Z,2023-01-10T19:22:14Z,PT4H19M1S,2023-01-10T21:57:32Z
dgdrUnib6_g,House Environment and Agriculture (01/10/23),yes,Environment and Agriculture,2023-01-10,title,yes,2023-01-10 09:58:42,2023-01-10T14:58:42Z,2023-01-10T20:58:59Z,PT6H,2023-01-10T22:15:29Z
ta4Y32VhV84,Legislative Oversight Committee for the Education Improvement and Assessment Program,NO,,,title,yes,2023-01-10 09:58:17,2023-01-10T14:58:17Z,2023-01-10T16:36:30Z,PT1H38M25S,2023-01-11T04:50:31Z
q3JxgZ4MTe8,House Ways and Means (01/11/23),yes,Ways and Means,2023-01-11,title,yes,2023-01-11 08:57:27,2023-01-11T13:57:27Z,2023-01-11T20:01:05Z,PT6H3M36S,2023-01-11T20:58:27Z
c2VFUD5sfM0,House Education (01/11/23),yes,Education,2023-01-11,title,yes,2023-01-11 09:29:52,2023-01-11T14:29:52Z,2023-01-11T19:45:24Z,PT5H15M16S,2023-01-11T21:01:18Z
