video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
vqZc1mnuBeA,Commission to Study Stable Tokens (12/10/2025),yes,Commission to Study Stable Tokens,2025-12-10,title,yes,2025-12-10 09:58:46,2025-12-10T14:58:46Z,2025-12-10T17:12:44Z,PT2H14M11S,2025-12-11T05:30:41Z
Ec34O-DhdeA,House Session (12/17/2025),yes,Session,2025-12-17,title,yes,2025-12-17 09:59:01,2025-12-17T14:59:01Z,2025-12-17T17:10:37Z,PT2H11M31S,2025-12-18T05:22:44Z
Xf3SnKGztJI,JLCAR Administrative Rules (12/18/2025),yes,JLCAR Administrative Rules,2025-12-18,title,yes,2025-12-18 08:54:37,2025-12-18T13:54:37Z,2025-12-18T14:44:30Z,PT50M1S,2025-12-19T02:49:24Z
R04YnRG9zZs,Health and Human Services Oversight Committee (12/19/2025),yes,Health and Human Services Oversight Committee,2025-12-19,title,yes,2025-12-19 09:56:02,2025-12-19T14:56:02Z,2025-12-19T15:50:22Z,PT54M21S,2025-12-20T03:54:10Z
R0s4jXvvDaM,Commission to Study Costs of Special Education (12/19/2025),yes,Commission to Study Costs of Special Education,2025-12-19,title,yes,2025-12-19 09:58:41,2025-12-19T14:58:41Z,2025-12-19T16:55:15Z,PT1H56M51S,2025-12-20T05:04:37Z
UIggNFX-y3g,Fiscal Committee (12/19/2025),yes,Fiscal Committee,2025-12-19,title,yes,2025-12-19 10:58:46,2025-12-19T15:58:46Z,2025-12-19T17:08:23Z,PT1H9M44S,2025-12-20T05:21:50Z
