video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
okHcg-1-0WM,Executive Departments and Administration : Work and Executive Session (5/14/20),yes,Executive Departments and Administration : Work and Executive Session,2020-05-14,title,yes,2020-05-14 10:11:36,2020-05-14T14:11:36Z,2020-05-14T19:36:01Z,PT1H40M20S,2020-05-14T20:16:54Z
I8VVnI5f7i8,Judiciary : Work Session (5/19/20),yes,Judiciary : Work Session,2020-05-19,title,yes,2020-05-19 13:02:10,2020-05-19T17:02:10Z,2020-05-19T22:03:30Z,PT1H42M1S,2020-05-20T00:39:04Z
DchF7xBBfGk,Ways and Mean : Work Session and Revenue Estimates (5/20/20),yes,Ways and Mean : Work Session and Revenue Estimates,2020-05-20,title,yes,2020-05-20 10:00:47,2020-05-20T14:00:47Z,2020-05-20T20:12:51Z,PT2H48M33S,2020-05-20T21:05:48Z
BadbRylnhTM,Criminal Justice and Public Safety : Work and Executive Sessions (5/21/20),yes,Criminal Justice and Public Safety : Work and Executive Sessions,2020-05-21,title,yes,2020-05-21 10:05:19,2020-05-21T14:05:19Z,2020-05-21T20:05:04Z,PT2H35M9S,2020-05-21T20:49:10Z
duB8_TkhP4o,Finance : Executive Session (5/21/20),yes,Finance : Executive Session,2020-05-21,title,yes,2020-05-21 14:02:09,2020-05-21T18:02:09Z,2020-05-21T22:17:43Z,PT1H11M7S,2020-05-21T22:54:51Z
IhaIzHCphC0,Ways and Means - Revenue Estimates (5/27/20 - morning session),NO,,,title,yes,2020-05-27 09:30:49,2020-05-27T13:30:49Z,2020-05-27T16:24:30Z,PT2H53M42S,2020-05-27T17:04:48Z
L8usjfX4Td8,Ways and Means - Revenue Estimates (5/27/20 - afternoon session),NO,,,title,yes,2020-05-27 13:01:24,2020-05-27T17:01:24Z,2020-05-27T20:21:07Z,PT3H19M45S,2020-05-27T21:02:14Z
Q3YzhF_QEb0,Judiciary : Executive Session (5/28/20),yes,Judiciary : Executive Session,2020-05-28,title,yes,2020-05-28 10:04:21,2020-05-28T14:04:21Z,2020-05-28T15:33:36Z,PT1H29M16S,2020-05-28T16:09:54Z
wCdNcNoIUa4,Executive Departments and Administration : Executive Session (5/28/20),yes,Executive Departments and Administration : Executive Session,2020-05-28,title,yes,2020-05-28 13:06:34,2020-05-28T17:06:34Z,2020-05-28T17:50:05Z,PT43M36S,2020-05-28T18:23:30Z
4RcJkeO7QRM,Ways and Means: Revenue Estimates (6/1/20 - morning session),NO,,,title,yes,2020-06-01 10:03:22,2020-06-01T14:03:22Z,2020-06-01T16:41:51Z,PT2H38M34S,2020-06-01T17:15:20Z
L5BFcb7Eeb4,Ways and Means: Revenue Estimates and Executive Session (6/1/20 - afternoon session),NO,,,title,yes,2020-06-01 13:05:02,2020-06-01T17:05:02Z,2020-06-01T19:28:42Z,PT2H23M59S,2020-06-01T20:08:20Z
1uQdTrOA09M,Children and Family Law : Public Hearings and Executive Session (6/2/20),yes,Children and Family Law : Public Hearings and Executive Session,2020-06-02,title,yes,2020-06-02 13:02:11,2020-06-02T17:02:11Z,2020-06-02T21:40:56Z,PT4H38M48S,2020-06-02T22:29:54Z
ULsBhg_qSaY,Rules (6/3/20),yes,Rules,2020-06-03,title,yes,2020-06-03 10:03:10,2020-06-03T14:03:10Z,2020-06-03T15:10:49Z,PT1H7M37S,2020-06-03T15:45:29Z
P6mc2t7qGzY,Education: Public Hearings and Executive Sessions (6/9/20),yes,Education: Public Hearings and Executive Sessions,2020-06-09,title,yes,2020-06-09 13:04:14,2020-06-09T17:04:14Z,2020-06-09T19:44:35Z,PT2H40M21S,2020-06-09T20:26:27Z
