bill,body,committee,proceeding,sched_date,sched_time,venue,tier,bills_in_slot,match,video_id,video_title,stream_start,predicted_offset,watch_url,candidates,observed_start,observed_end,notes
HR21,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HR28,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1002,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1003,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1004,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1005,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1088,H,Education,public hearing,2024-01-22,09:00,LOB 205-207,A-unique-slot,1,single video,7fGOyRgWqy4,House Education (01/22/2024),08:59:11,0:00:49,https://www.youtube.com/watch?v=7fGOyRgWqy4&t=0s,,,,
HB1274,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1489,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1696,H,Judiciary,executive session,2024-01-22,09:00,LOB 206-208,C-shared-slot,7,single video,9tSSs8BYS34,House Judiciary (01/22/2024),08:59:12,0:00:48,https://www.youtube.com/watch?v=9tSSs8BYS34&t=0s,,,,
HB1553,H,Education,public hearing,2024-01-22,09:30,LOB 205-207,A-unique-slot,1,single video,7fGOyRgWqy4,House Education (01/22/2024),08:59:11,0:30:49,https://www.youtube.com/watch?v=7fGOyRgWqy4&t=1549s,,,,
HB1572,H,Environment and Agriculture,public hearing,2024-01-22,10:00,LOB 301-303,A-unique-slot,1,single video,CwJbQKSzxN4,House Environment and Agriculture (01/22/2024),09:59:48,0:00:12,https://www.youtube.com/watch?v=CwJbQKSzxN4&t=0s,,,,
