bill,body,committee,proceeding,sched_date,sched_time,venue,tier,bills_in_slot,match,video_id,video_title,stream_start,predicted_offset,watch_url,candidates,observed_start,observed_end,notes
HB1072,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,10:15,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HB1225,H,Commerce and Consumer Affairs,public hearing,2024-01-18,10:15,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,0:17:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=724s,,,,
HB1017,H,Criminal Justice and Public Safety,public hearing,2024-01-18,10:30,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,1:00:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=3352s,,,,
HB1017,H,Criminal Justice and Public Safety,executive session,2024-01-18,10:30,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,1:00:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=3352s,,,,
HB1349,H,"Health, Human Services and Elderly Affairs",public hearing,2024-01-18,10:30,LOB 210-211,A-unique-slot,1,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,1:00:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=3349s,,,,
HB1365,H,Commerce and Consumer Affairs,public hearing,2024-01-18,10:45,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,0:47:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=2524s,,,,
HB1454,H,Executive Departments and Administration,public hearing,2024-01-18,10:45,LOB 306-308,A-unique-slot,1,single video,rSABUOmwKkQ,House Executive Departments and Administration (01/18/2024),08:59:42,1:45:18,https://www.youtube.com/watch?v=rSABUOmwKkQ&t=6018s,,,,
HB1570,H,Education,public hearing,2024-01-18,10:45,LOB 205-207,A-unique-slot,1,single video,IuC2cCvchgw,House Education (01/18/2024),09:29:02,1:15:58,https://www.youtube.com/watch?v=IuC2cCvchgw&t=4258s,,,,
HB1026,H,Criminal Justice and Public Safety,public hearing,2024-01-18,11:00,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,1:30:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=5152s,,,,
HB1026,H,Criminal Justice and Public Safety,executive session,2024-01-18,11:00,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,1:30:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=5152s,,,,
HB1110,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,11:00,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HB1520,H,"Health, Human Services and Elderly Affairs",executive session,2024-01-18,11:00,LOB 210-211,C-shared-slot,4,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,1:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=5149s,,,,
HB1593,H,"Health, Human Services and Elderly Affairs",executive session,2024-01-18,11:00,LOB 210-211,C-shared-slot,4,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,1:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=5149s,,,,
HB1612,H,"Health, Human Services and Elderly Affairs",executive session,2024-01-18,11:00,LOB 210-211,C-shared-slot,4,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,1:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=5149s,,,,
HB1662,H,"Health, Human Services and Elderly Affairs",executive session,2024-01-18,11:00,LOB 210-211,C-shared-slot,4,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,1:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=5149s,,,,
HB1571,H,Commerce and Consumer Affairs,public hearing,2024-01-18,11:15,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,1:17:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=4324s,,,,
HB1372,H,Criminal Justice and Public Safety,public hearing,2024-01-18,11:30,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,2:00:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=6952s,,,,
HB1546,H,Executive Departments and Administration,public hearing,2024-01-18,11:30,LOB 306-308,A-unique-slot,1,single video,rSABUOmwKkQ,House Executive Departments and Administration (01/18/2024),08:59:42,2:30:18,https://www.youtube.com/watch?v=rSABUOmwKkQ&t=8718s,,,,
HB1546,H,Executive Departments and Administration,executive session,2024-01-18,11:30,LOB 306-308,A-unique-slot,1,single video,rSABUOmwKkQ,House Executive Departments and Administration (01/18/2024),08:59:42,2:30:18,https://www.youtube.com/watch?v=rSABUOmwKkQ&t=8718s,,,,
HB1330,H,Criminal Justice and Public Safety,public hearing,2024-01-18,12:00,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,2:30:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=8752s,,,,
HB1216,H,Education,public hearing,2024-01-18,12:45,LOB 205-207,A-unique-slot,1,single video,IuC2cCvchgw,House Education (01/18/2024),09:29:02,3:15:58,https://www.youtube.com/watch?v=IuC2cCvchgw&t=11458s,,,,
HB1201,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,13:00,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HB1350,H,"Health, Human Services and Elderly Affairs",public hearing,2024-01-18,13:00,LOB 210-211,A-unique-slot,1,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,3:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=12349s,,,,
HB1619,H,Criminal Justice and Public Safety,subcommittee work session,2024-01-18,13:00,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,3:30:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=12352s,,,,
SB356,S,Judiciary,hearing,2024-01-18,13:00,SH 100,A-unique-slot,1,2 videos that day - pick manually,,,,,,House Judiciary (01/18/2024) | Senate Judiciary (01/18/2024),,,
HB1094,H,Commerce and Consumer Affairs,public hearing,2024-01-18,13:15,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,3:17:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=11524s,,,,
HB1601,H,Executive Departments and Administration,public hearing,2024-01-18,13:15,LOB 306-308,A-unique-slot,1,single video,rSABUOmwKkQ,House Executive Departments and Administration (01/18/2024),08:59:42,4:15:18,https://www.youtube.com/watch?v=rSABUOmwKkQ&t=15018s,,,,
SB509,S,Judiciary,hearing,2024-01-18,13:15,SH 100,A-unique-slot,1,2 videos that day - pick manually,,,,,,House Judiciary (01/18/2024) | Senate Judiciary (01/18/2024),,,
HB1164,H,Education,public hearing,2024-01-18,13:30,LOB 205-207,A-unique-slot,1,single video,IuC2cCvchgw,House Education (01/18/2024),09:29:02,4:00:58,https://www.youtube.com/watch?v=IuC2cCvchgw&t=14158s,,,,
HB1226,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,13:30,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HB1581,H,"Health, Human Services and Elderly Affairs",public hearing,2024-01-18,13:30,LOB 210-211,A-unique-slot,1,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,4:00:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=14149s,,,,
SB565,S,Judiciary,hearing,2024-01-18,13:30,SH 100,A-unique-slot,1,2 videos that day - pick manually,,,,,,House Judiciary (01/18/2024) | Senate Judiciary (01/18/2024),,,
HB1296,H,Commerce and Consumer Affairs,public hearing,2024-01-18,13:45,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,3:47:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=13324s,,,,
SB508,S,Judiciary,hearing,2024-01-18,13:45,SH 100,A-unique-slot,1,2 videos that day - pick manually,,,,,,House Judiciary (01/18/2024) | Senate Judiciary (01/18/2024),,,
HB1021,H,Criminal Justice and Public Safety,subcommittee work session,2024-01-18,14:00,LOB 202-204,A-unique-slot,1,single video,GaQCWvxrgvE,House Criminal Justice and Public Safety (01/18/2024),09:29:08,4:30:52,https://www.youtube.com/watch?v=GaQCWvxrgvE&t=15952s,,,,
HB1058,H,Education,public hearing,2024-01-18,14:00,LOB 205-207,A-unique-slot,1,single video,IuC2cCvchgw,House Education (01/18/2024),09:29:02,4:30:58,https://www.youtube.com/watch?v=IuC2cCvchgw&t=15958s,,,,
HB1231,H,"Health, Human Services and Elderly Affairs",public hearing,2024-01-18,14:00,LOB 210-211,A-unique-slot,1,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,4:30:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=15949s,,,,
HB1486,H,Executive Departments and Administration,public hearing,2024-01-18,14:00,LOB 306-308,A-unique-slot,1,single video,rSABUOmwKkQ,House Executive Departments and Administration (01/18/2024),08:59:42,5:00:18,https://www.youtube.com/watch?v=rSABUOmwKkQ&t=17718s,,,,
SB569,S,Judiciary,hearing,2024-01-18,14:00,SH 100,A-unique-slot,1,2 videos that day - pick manually,,,,,,House Judiciary (01/18/2024) | Senate Judiciary (01/18/2024),,,
HB1081,H,Commerce and Consumer Affairs,public hearing,2024-01-18,14:15,LOB 302-304,A-unique-slot,1,single video,FtvAf9ls-3g,House Commerce and Consumer Affairs (01/18/2024),09:57:56,4:17:04,https://www.youtube.com/watch?v=FtvAf9ls-3g&t=15124s,,,,
HB1109,H,Education,public hearing,2024-01-18,14:30,LOB 205-207,A-unique-slot,1,single video,IuC2cCvchgw,House Education (01/18/2024),09:29:02,5:00:58,https://www.youtube.com/watch?v=IuC2cCvchgw&t=17758s,,,,
HB1246,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,14:30,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HB1171,H,"Health, Human Services and Elderly Affairs",public hearing,2024-01-18,14:45,LOB 210-211,A-unique-slot,1,single video,0Sevqq2OnlI,"House Health, Human Services and Elderly Affairs (01/18/2024)",09:29:11,5:15:49,https://www.youtube.com/watch?v=0Sevqq2OnlI&t=18649s,,,,
HB1315,H,"Labor, Industrial and Rehabilitative Services",public hearing,2024-01-18,15:00,LOB 307,A-unique-slot,1,no video found,,,,,,,,,
HR24,H,State-Federal Relations and Veterans Affairs,public hearing,2024-01-19,09:00,LOB 206-208,A-unique-slot,1,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,0:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=0s,,,,
HR19,H,State-Federal Relations and Veterans Affairs,public hearing,2024-01-19,09:15,LOB 206-208,A-unique-slot,1,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,0:16:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=688s,,,,
HB1039,H,Criminal Justice and Public Safety,public hearing,2024-01-19,09:30,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,0:00:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=0s,,,,
HCR8,H,State-Federal Relations and Veterans Affairs,public hearing,2024-01-19,09:30,LOB 206-208,A-unique-slot,1,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,0:31:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=1588s,,,,
HB1097,H,Criminal Justice and Public Safety,public hearing,2024-01-19,10:00,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,0:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=1549s,,,,
