video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
2uBZnD4Te1g,Senate Energy and Natural Resources (10/07/2025),yes,Energy and Natural Resources,2025-10-07,title,yes,2025-10-07 08:58:41,2025-10-07T12:58:41Z,2025-10-07T13:29:42Z,PT31M11S,2025-10-08T01:33:30Z
REvZGkn_ttU,Senate Executive Departments and Administration (10/07/2025),yes,Executive Departments and Administration,2025-10-07,title,yes,2025-10-07 08:55:41,2025-10-07T12:55:41Z,2025-10-07T13:44:44Z,PT49M11S,2025-10-08T01:52:58Z
QzUGvGQ494M,Senate Education (10/14/2025),yes,Education,2025-10-14,title,yes,2025-10-14 12:56:01,2025-10-14T16:56:01Z,2025-10-14T19:37:13Z,PT2H41M21S,2025-10-15T07:49:41Z
tZZJ-z6A1UA,Senate Health and Human Services (10/21/2025),yes,Health and Human Services,2025-10-21,title,yes,2025-10-21 12:57:01,2025-10-21T16:57:01Z,2025-10-21T17:33:15Z,PT36M21S,2025-10-22T05:36:41Z
NHkQG28o1Q0,Senate Children and Family Law (10/23/2025),yes,Children and Family Law,2025-10-23,title,yes,2025-10-23 09:14:01,2025-10-23T13:14:01Z,2025-10-23T13:29:30Z,PT15M46S,2025-10-23T13:31:44Z
G8VxMdbzPQc,Senate Finance (10/23/2025),yes,Finance,2025-10-23,title,yes,2025-10-23 12:59:16,2025-10-23T16:59:16Z,2025-10-23T17:06:17Z,PT7M1S,2025-10-23T17:09:33Z
ZTNMMcqexaM,Senate Transportation (10/23/2025),yes,Transportation,2025-10-23,title,yes,2025-10-23 14:25:52,2025-10-23T18:25:52Z,2025-10-23T18:41:58Z,PT16M11S,2025-10-23T18:44:22Z
9krQ-LBoB6s,Senate Session (10/23/2025),yes,Session,2025-10-23,title,yes,2025-10-23 09:59:11,2025-10-23T13:59:11Z,2025-10-23T14:33:51Z,PT34M51S,2025-10-24T02:36:47Z
Y4W5PjpNEko,Senate Energy and Natural Resources (10/23/2025),yes,Energy and Natural Resources,2025-10-23,title,yes,2025-10-23 12:58:56,2025-10-23T16:58:56Z,2025-10-23T17:34:29Z,PT35M46S,2025-10-24T05:36:31Z
q0KW8fuHhMQ,Senate Election Law and Municipal Affairs (10/23/2025),yes,Election Law and Municipal Affairs,2025-10-23,title,yes,2025-10-23 13:27:22,2025-10-23T17:27:22Z,2025-10-23T18:05:11Z,PT37M46S,2025-10-24T06:08:04Z
GlF0y5H_600,Senate Judiciary (10/23/2025),yes,Judiciary,2025-10-23,title,yes,2025-10-23 14:28:01,2025-10-23T18:28:01Z,2025-10-23T19:18:12Z,PT50M26S,2025-10-24T07:23:14Z
u-s4KsHfndY,Senate Commerce (10/30/2025),yes,Commerce,2025-10-30,title,yes,2025-10-30 12:59:16,2025-10-30T16:59:16Z,2025-10-30T18:18:17Z,PT1H19M16S,2025-10-31T06:26:59Z
jnxwBOTT_EU,Senate Education (11/18/2025),yes,Education,2025-11-18,title,yes,2025-11-18 09:57:21,2025-11-18T14:57:21Z,2025-11-18T16:05:55Z,PT1H8M36S,2025-11-19T04:15:42Z
u-a82dh3HYo,Senate Ways and Means (12/02/2025),yes,Ways and Means,2025-12-02,title,yes,2025-12-02 09:56:26,2025-12-02T14:56:26Z,2025-12-02T15:01:37Z,PT5M26S,2025-12-03T03:02:39Z
wUYfrXNrh1A,Senate Executive Departments and Administration (12/03/2025),yes,Executive Departments and Administration,2025-12-03,title,yes,2025-12-03 10:58:41,2025-12-03T15:58:41Z,2025-12-03T16:22:31Z,PT24M6S,2025-12-04T04:25:13Z
6YmS01U_TAY,Senate Ways and Means (12/04/2025),yes,Ways and Means,2025-12-04,title,yes,2025-12-04 09:58:41,2025-12-04T14:58:41Z,2025-12-04T15:12:20Z,PT13M51S,2025-12-04T15:14:42Z
