video_id,title,title_parsed,parsed_committee,parsed_date,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
o1JixQduMKE,Senate Children and Family Law (02/03/2025),yes,Children and Family Law,2025-02-03,yes,2025-02-03 09:59:36,2025-02-03T14:59:36Z,2025-02-03T17:11:01Z,PT2H11M41S,2025-02-04T05:34:04Z
g3ueYyeEizo,Senate Commerce (02/04/2025),yes,Commerce,2025-02-04,yes,2025-02-04 09:28:41,2025-02-04T14:28:41Z,2025-02-04T15:43:08Z,PT1H14M24S,2025-02-05T03:48:58Z
5zhoZ4k_UNY,Senate Education (02/04/2025),yes,Education,2025-02-04,yes,2025-02-04 08:59:16,2025-02-04T13:59:16Z,2025-02-04T15:53:24Z,PT1H54M21S,2025-02-05T04:12:14Z
H6GYyEIGWPM,Senate Election Law and Municipal Affairs (02/04/2025),yes,Election Law and Municipal Affairs,2025-02-04,yes,2025-02-04 08:59:11,2025-02-04T13:59:11Z,2025-02-04T16:01:45Z,PT2H2M41S,2025-02-05T04:22:42Z
0Yn2vPDdzcA,Senate Energy and Natural Resources (02/04/2025),yes,Energy and Natural Resources,2025-02-04,yes,2025-02-04 08:59:42,2025-02-04T13:59:42Z,2025-02-04T16:32:07Z,PT2H32M18S,2025-02-05T04:46:10Z
c2J1vPY99gg,Senate Judiciary (02/04/2025),yes,Judiciary,2025-02-04,yes,2025-02-04 12:59:06,2025-02-04T17:59:06Z,2025-02-04T19:43:40Z,PT1H44M43S,2025-02-05T08:03:44Z
nL87nX4_B-A,Senate Transportation (02/04/2025),yes,Transportation,2025-02-04,yes,2025-02-04 13:00:47,2025-02-04T18:00:47Z,2025-02-04T20:13:11Z,PT2H12M31S,2025-02-05T08:27:19Z
o32vW_DQtPo,Senate Finance (02/04/2025),yes,Finance,2025-02-04,yes,2025-02-04 13:14:06,2025-02-04T18:14:06Z,2025-02-04T20:31:10Z,PT2H17M10S,2025-02-05T09:03:05Z
RimtylXHI1Y,Senate Health and Human Services (02/05/2025),yes,Health and Human Services,2025-02-05,yes,2025-02-05 08:59:01,2025-02-05T13:59:01Z,2025-02-05T19:37:45Z,PT5H38M39S,2025-02-05T19:49:59Z
y2Kp47EWSzk,Senate Executive Departments and Administration (02/05/2025),yes,Executive Departments and Administration,2025-02-05,yes,2025-02-05 08:59:01,2025-02-05T13:59:01Z,2025-02-05T20:28:48Z,PT6H30M1S,2025-02-05T20:45:26Z
C1Qjmeb03rg,Senate Ways and Means (02/05/2025),yes,Ways and Means,2025-02-05,yes,2025-02-05 09:16:31,2025-02-05T14:16:31Z,2025-02-05T16:09:18Z,PT1H52M51S,2025-02-06T04:15:35Z
l_efo6vhvJI,Senate Commerce (02/06/2025),yes,Commerce,2025-02-06,yes,2025-02-06 09:29:16,2025-02-06T14:29:16Z,2025-02-06T14:48:49Z,PT19M41S,2025-02-07T02:51:56Z
av5v91ix58E,Senate Health and Human Services (02/06/2025),yes,Health and Human Services,2025-02-06,yes,2025-02-06 09:59:06,2025-02-06T14:59:06Z,2025-02-06T18:25:44Z,PT3H26M19S,2025-02-07T07:19:43Z
KDCzIW-3-fg,Senate Health and Human Services (02/10/2025),yes,Health and Human Services,2025-02-10,yes,2025-02-10 10:14:21,2025-02-10T15:14:21Z,2025-02-10T18:00:13Z,PT2H46M,2025-02-11T06:58:21Z
pp8S5jDzg7A,Senate Election Law and Municipal Affairs (02/11/2025),yes,Election Law and Municipal Affairs,2025-02-11,yes,2025-02-11 09:14:06,2025-02-11T14:14:06Z,2025-02-11T16:40:01Z,PT2H26M5S,2025-02-12T04:57:27Z
Y0gqFv_al2k,Senate Education (02/11/2025),yes,Education,2025-02-11,yes,2025-02-11 08:59:57,2025-02-11T13:59:57Z,2025-02-11T16:51:32Z,PT2H51M51S,2025-02-12T05:02:26Z
BB-Ei9_JLS8,Senate Energy and Natural Resources (02/11/2025),yes,Energy and Natural Resources,2025-02-11,yes,2025-02-11 08:59:26,2025-02-11T13:59:26Z,2025-02-11T16:53:16Z,PT2H54M6S,2025-02-12T05:10:01Z
cJHszZkmlX8,Senate Commerce (02/11/2025),yes,Commerce,2025-02-11,yes,2025-02-11 09:29:02,2025-02-11T14:29:02Z,2025-02-11T16:51:28Z,PT2H22M41S,2025-02-12T05:35:16Z
Q_RaGVHiP64,Senate Finance (02/11/2025),yes,Finance,2025-02-11,yes,2025-02-11 13:14:06,2025-02-11T18:14:06Z,2025-02-11T20:23:21Z,PT2H9M30S,2025-02-12T08:55:29Z
bkekXDyvPT8,Senate Judiciary (02/11/2025),yes,Judiciary,2025-02-11,yes,2025-02-11 12:59:11,2025-02-11T17:59:11Z,2025-02-11T20:49:43Z,PT2H50M41S,2025-02-12T09:11:22Z
o5_4PfRQFZc,Senate Transportation (02/11/2025),yes,Transportation,2025-02-11,yes,2025-02-11 12:57:36,2025-02-11T17:57:36Z,2025-02-11T20:03:05Z,PT2H5M30S,2025-02-12T09:12:39Z
9NqwGFjWX9M,Senate Ways and Means (02/12/2025),yes,Ways and Means,2025-02-12,yes,2025-02-12 09:14:56,2025-02-12T14:14:56Z,2025-02-12T16:09:28Z,PT1H54M45S,2025-02-13T04:20:20Z
-_Bx4AF3hdA,Senate Executive Departments and Administration (02/12/2025),yes,Executive Departments and Administration,2025-02-12,yes,2025-02-12 08:59:01,2025-02-12T13:59:01Z,2025-02-12T16:15:19Z,PT2H16M23S,2025-02-13T04:35:52Z
XzB3YiCi-II,Senate Health and Human Services (02/12/2025),yes,Health and Human Services,2025-02-12,yes,2025-02-12 08:59:06,2025-02-12T13:59:06Z,2025-02-12T17:51:55Z,PT3H53M1S,2025-02-13T06:34:00Z
HlaPWKxbCkg,Senate Education Finance (02/12/2025),yes,Education Finance,2025-02-12,yes,2025-02-12 14:58:21,2025-02-12T19:58:21Z,2025-02-12T22:38:11Z,PT2H39M56S,2025-02-13T11:07:30Z
dohkgw0B85w,Senate Judiciary (02/13/2025),yes,Judiciary,2025-02-13,yes,2025-02-13 14:14:26,2025-02-13T19:14:26Z,2025-02-13T23:27:38Z,PT4H13M14S,2025-02-13T23:46:30Z
X070rJPtF7Y,Senate Session (02/13/2025),yes,Session,2025-02-13,yes,2025-02-13 09:59:06,2025-02-13T14:59:06Z,2025-02-13T17:05:22Z,PT2H6M31S,2025-02-14T05:17:23Z
TgiacjbXQhI,Senate Rules and Enrolled Bills (02/18/2025),yes,Rules and Enrolled Bills,2025-02-18,yes,2025-02-18 08:28:56,2025-02-18T13:28:56Z,2025-02-18T13:38:11Z,PT9M25S,2025-02-18T13:40:27Z
itr6PlMSx9Q,Senate Education Exec Session (02/18/2025),yes,Education Exec Session,2025-02-18,yes,2025-02-18 11:43:46,2025-02-18T16:43:46Z,2025-02-18T16:55:26Z,PT11M36S,2025-02-18T16:57:39Z
mTdvKYnBbZI,Senate Election Law and Municipal Affairs (02/18/2025),yes,Election Law and Municipal Affairs,2025-02-18,yes,2025-02-18 09:15:56,2025-02-18T14:15:56Z,2025-02-18T16:04:16Z,PT1H48M21S,2025-02-19T04:11:45Z
Nes3WZZI6SU,Senate Commerce (02/18/2025),yes,Commerce,2025-02-18,yes,2025-02-18 09:27:56,2025-02-18T14:27:56Z,2025-02-18T16:12:04Z,PT1H44M21S,2025-02-19T04:22:39Z
tMK8y0578uo,Senate Education (02/18/2025),yes,Education,2025-02-18,yes,2025-02-18 08:58:31,2025-02-18T13:58:31Z,2025-02-18T16:41:07Z,PT2H42M40S,2025-02-19T04:54:43Z
mSvdWQMgdYE,Senate Energy and Natural Resources (02/18/2025),yes,Energy and Natural Resources,2025-02-18,yes,2025-02-18 08:58:57,2025-02-18T13:58:57Z,2025-02-18T16:54:58Z,PT2H56M16S,2025-02-19T05:10:06Z
CbtQ9gotyBw,Senate Finance (02/18/2025),yes,Finance,2025-02-18,yes,2025-02-18 13:29:02,2025-02-18T18:29:02Z,2025-02-18T19:19:19Z,PT50M26S,2025-02-19T07:26:25Z
a4fUce6_9EQ,Senate Transportation (02/18/2025),yes,Transportation,2025-02-18,yes,2025-02-18 13:28:41,2025-02-18T18:28:41Z,2025-02-18T19:38:31Z,PT1H10M6S,2025-02-19T07:55:53Z
PrqfDerymFc,Senate Judiciary (02/18/2025),yes,Judiciary,2025-02-18,yes,2025-02-18 12:58:31,2025-02-18T17:58:31Z,2025-02-18T21:34:36Z,PT3H36M16S,2025-02-19T09:53:22Z
JQ5okSk11DE,Senate Health and Human Services (02/18/2025),yes,Health and Human Services,2025-02-18,yes,2025-02-19 08:59:51,2025-02-19T13:59:51Z,2025-02-19T20:37:15Z,PT6H37M30S,2025-02-19T21:00:29Z
ivqg6dOUGJA,Senate Executive Departments and Administration (02/19/2025),yes,Executive Departments and Administration,2025-02-19,yes,2025-02-19 09:02:22,2025-02-19T14:02:22Z,2025-02-19T15:47:27Z,PT1H45M21S,2025-02-20T03:55:23Z
7kWgSQQrIhk,Senate Education Finance (02/19/2025),yes,Education Finance,2025-02-19,yes,2025-02-19 12:59:06,2025-02-19T17:59:06Z,2025-02-19T19:04:34Z,PT1H5M35S,2025-02-20T07:09:22Z
JAkY5kkBqmc,Senate Energy and Natural Resources (02/20/2025),yes,Energy and Natural Resources,2025-02-20,yes,2025-02-20 08:59:01,2025-02-20T13:59:01Z,2025-02-20T14:59:27Z,PT1H41S,2025-02-21T03:06:06Z
-Z_0fNz852M,Senate Children and Family Law (02/20/2025),yes,Children and Family Law,2025-02-20,yes,2025-02-20 09:29:01,2025-02-20T14:29:01Z,2025-02-20T15:53:07Z,PT1H24M20S,2025-02-21T04:01:29Z
9phymomEP5A,Senate Commerce (02/20/2025),yes,Commerce,2025-02-20,yes,2025-02-20 08:59:06,2025-02-20T13:59:06Z,2025-02-20T16:18:49Z,PT2H19M48S,2025-02-21T04:28:25Z
iUbvC3_XQyE,Senate Judiciary (02/20/2025),yes,Judiciary,2025-02-20,yes,2025-02-20 12:59:01,2025-02-20T17:59:01Z,2025-02-20T20:43:51Z,PT2H45M1S,2025-02-21T09:13:45Z
88uooHtG6hg,Senate Education (03/03/2025),yes,Education,2025-03-03,yes,2025-03-03 10:00:26,2025-03-03T15:00:26Z,2025-03-03T17:01:35Z,PT2H1M26S,2025-03-04T05:18:09Z
Sh75vEJHCzA,Senate Election Law and Municipal Affairs (03/04/2025),yes,Election Law and Municipal Affairs,2025-03-04,yes,2025-03-04 09:14:07,2025-03-04T14:14:07Z,2025-03-04T16:13:18Z,PT1H59M26S,2025-03-05T04:22:00Z
mqQSYKcZvy0,Senate Energy and Natural Resources (03/04/2025),yes,Energy and Natural Resources,2025-03-04,yes,2025-03-04 08:58:46,2025-03-04T13:58:46Z,2025-03-04T16:18:47Z,PT2H20M16S,2025-03-05T04:35:38Z
0Z9eYEyiGNM,Senate Commerce (03/04/2025),yes,Commerce,2025-03-04,yes,2025-03-04 09:28:01,2025-03-04T14:28:01Z,2025-03-04T16:56:21Z,PT2H28M16S,2025-03-05T05:06:30Z
DJG0bJg-F4A,Senate Education (03/04/2025),yes,Education,2025-03-04,yes,2025-03-04 08:58:46,2025-03-04T13:58:46Z,2025-03-04T16:58:12Z,PT2H59M33S,2025-03-05T05:25:30Z
-O-hzWkxeX8,Senate Transportation (03/04/2025),yes,Transportation,2025-03-04,yes,2025-03-04 13:29:16,2025-03-04T18:29:16Z,2025-03-04T19:00:17Z,PT31M16S,2025-03-05T07:03:36Z
2oN7obi1qfE,Senate Judiciary (03/04/2025),yes,Judiciary,2025-03-04,yes,2025-03-04 12:57:01,2025-03-04T17:57:01Z,2025-03-04T19:51:52Z,PT1H50M42S,2025-03-05T08:01:00Z
86YPnsVOBxs,Senate Finance (03/04/2025),yes,Finance,2025-03-04,yes,2025-03-04 12:58:42,2025-03-04T17:58:42Z,2025-03-04T20:57:21Z,PT2H54M5S,2025-03-05T09:09:41Z
EmPFD52xASg,Senate Ways and Means (03/05/2025),yes,Ways and Means,2025-03-05,yes,2025-03-05 09:29:01,2025-03-05T14:29:01Z,2025-03-05T15:07:42Z,PT38M40S,2025-03-06T03:13:10Z
xAfGuKT9xEk,Senate Executive Departments and Administration (03/05/2025),yes,Executive Departments and Administration,2025-03-05,yes,2025-03-05 08:58:41,2025-03-05T13:58:41Z,2025-03-05T15:36:46Z,PT1H38M11S,2025-03-06T03:46:22Z
iaiOmuVDUDw,Senate Health and Human Services (03/05/2025),yes,Health and Human Services,2025-03-05,yes,2025-03-05 08:59:26,2025-03-05T13:59:26Z,2025-03-05T15:35:56Z,PT1H36M31S,2025-03-06T03:46:43Z
QKlzRZztrtA,Senate Education Finance (03/05/2025),yes,Education Finance,2025-03-05,yes,2025-03-05 12:29:56,2025-03-05T17:29:56Z,2025-03-05T18:16:04Z,PT46M15S,2025-03-06T06:20:52Z
5a1rrU9MYcU,Senate Session (03/06/2025),yes,Session,2025-03-06,yes,2025-03-06 09:58:51,2025-03-06T14:58:51Z,2025-03-06T20:34:34Z,PT5H35M22S,2025-03-06T20:53:10Z
f0wzERaolAw,Senate Commerce (03/07/2025),yes,Commerce,2025-03-07,yes,2025-03-07 13:27:41,2025-03-07T18:27:41Z,2025-03-07T19:09:39Z,PT42M6S,2025-03-08T07:13:49Z
ZfbEnZ_9FM0,Senate Energy and Natural Resources (03/11/2025),yes,Energy and Natural Resources,2025-03-11,yes,2025-03-11 08:58:51,2025-03-11T12:58:51Z,2025-03-11T13:39:32Z,PT40M55S,2025-03-12T01:48:09Z
de76vfHRvhA,Senate Election Law and Municipal Affairs (03/11/2025),yes,Election Law and Municipal Affairs,2025-03-11,yes,2025-03-11 09:28:52,2025-03-11T13:28:52Z,2025-03-11T14:32:14Z,PT1H3M30S,2025-03-12T02:35:48Z
ZIt9GdvLoA0,Senate Commerce (03/11/2025),yes,Commerce,2025-03-11,yes,2025-03-11 09:58:06,2025-03-11T13:58:06Z,2025-03-11T15:57:47Z,PT1H59M56S,2025-03-12T04:08:42Z
n3XbdUaHfIc,Senate Judiciary (03/11/2025),yes,Judiciary,2025-03-11,yes,2025-03-11 12:59:36,2025-03-11T16:59:36Z,2025-03-11T18:54:33Z,PT1H55M11S,2025-03-12T07:04:15Z
MgIYC7r1MWg,Senate Finance (03/11/2025),yes,Finance,2025-03-11,yes,2025-03-11 13:28:51,2025-03-11T17:28:51Z,2025-03-11T20:20:10Z,PT2H51M27S,2025-03-12T09:35:37Z
Fy__MNurFG8,Senate Health and Human Services (03/12/2025),yes,Health and Human Services,2025-03-12,yes,2025-03-12 09:43:41,2025-03-12T13:43:41Z,2025-03-12T14:54:12Z,PT1H10M36S,2025-03-13T02:58:52Z
faCfTDUqJ-0,Senate Session (03/13/2025),yes,Session,2025-03-13,yes,2025-03-13 12:58:46,2025-03-13T16:58:46Z,2025-03-13T20:34:43Z,PT3H35M43S,2025-03-14T10:02:06Z
O6EUwLDy-f4,Senate Election Law and Municipal Affairs (03/18/2025),yes,Election Law and Municipal Affairs,2025-03-18,yes,2025-03-18 09:28:47,2025-03-18T13:28:47Z,2025-03-18T14:31:23Z,PT1H2M50S,2025-03-19T02:37:29Z
2EgDFQrngvU,Senate Energy and Natural Resources (03/18/2025),yes,Energy and Natural Resources,2025-03-18,yes,2025-03-18 08:58:51,2025-03-18T12:58:51Z,2025-03-18T15:02:52Z,PT2H4M11S,2025-03-19T03:17:00Z
R7AhORmgwaI,Senate Education (03/18/2025),yes,Education,2025-03-18,yes,2025-03-18 08:57:26,2025-03-18T12:57:26Z,2025-03-18T15:30:42Z,PT2H33M25S,2025-03-19T03:41:24Z
lCy0UBr9tsc,Senate Judiciary (03/18/2025),yes,Judiciary,2025-03-18,yes,2025-03-18 12:56:56,2025-03-18T16:56:56Z,2025-03-18T19:07:53Z,PT2H11M11S,2025-03-19T07:56:34Z
